fruitID,year,month,day,plantID,prevplantID,og.plantposition,round,filled.seeds,shriv.seeds,total.seeds,virgin.ovules,abrt.ovules,total.ovules,notes,counter,observer,CHECK.row.sum,CHECK.total.ovules,Ratio CHECK Total/Total,Ratio  row sum/total
800504,2017,9,19,br14,na,br14,3,9,0,9,1,1,11,1//damaged seeds,mc,ar,11,11,1,1
800505,2017,9,19,br14,na,br14,3,12,0,12,0,0,12,2,mc,ar,12,12,1,1
800506,2017,9,28,ru3,na,ru3,4,4,0,4,7,0,11,2,ar,ar,11,11,1,1
800507,2017,9,28,ru13,na,ru13,4,8,0,8,1,0,9,1,ar,ar,9,9,1,1
800508,2017,9,28,ru11,na,ru11,4,11,0,11,0,0,11,2,ar,ar,11,11,1,1
800509,2017,9,28,ru11,na,ru11,4,7,0,7,0,1,8,4,ar,ar,8,8,1,1
800510,2017,9,28,ru11,na,ru11,4,0,0,0,0,3,3,3//unable to locate additional ovules; fruit very sickly,ar,ar,3,3,1,1
800511,2017,9,28,ru6,na,ru6,4,6,0,6,3,1,10,1//abrtd ovule due to herbivory;1 virgin ovule larger than others,ar,ar,10,10,1,1
800512,2017,9,28,ru3,na,ru3,4,7,0,7,4,0,11,1,ar,ar,11,11,1,1
800513,2017,9,28,ru6,na,ru6,4,4,0,4,5,0,9,2,ar,ar,9,9,1,1
800514,2017,9,28,ru7,na,ru7,4,6,0,6,2,0,8,1,ar,ar,8,8,1,1
800515,2017,9,28,ru7,na,ru7,4,7,0,7,2,0,9,2,ar,ar,9,9,1,1
800516,2017,9,28,ru7,na,ru7,4,8,0,8,0,1,9,3//abrtd ovule due to herbiv,ar,ar,9,9,1,1
800517,2017,9,28,ru8,na,ru8,4,3,1,4,5,0,9,1//shriv curled up and dark,ar,ar,9,9,1,1
800518,2017,9,28,ru8,na,ru8,4,10,0,10,0,0,10,2,ar,ar,10,10,1,1
800519,2017,9,29,si15,na,si15,4,1,2,3,5,1,9,,ar,ar,9,9,1,1
800520,2017,9,29,si13,si23,si23,4,9,0,9,1,1,11,1,ar,ar,11,11,1,1
800521,2017,9,29,si3,na,si3,4,2,0,2,6,1,9,3,ar,ar,9,9,1,1
800522,2017,9,29,si5,na,si5,4,0,5,5,0,4,9,1,ar,ar,9,9,1,1
800523,2017,9,29,si5,na,si5,4,0,2,2,6,1,9,3,ar,ar,9,9,1,1
800524,2017,9,29,si5,na,si5,4,0,6,6,2,1,9,2,ar,ar,9,9,1,1
800525,2017,9,29,si9,na,si9,4,1,0,1,6,0,7,3,ar,ar,7,7,1,1
800526,2017,9,29,si9,na,si9,4,2,0,2,7,0,9,2,ar,ar,9,9,1,1
800527,2017,9,29,si9,na,si9,4,3,1,4,6,0,10,1,ar,ar,10,10,1,1
800528,2017,9,29,si2,si21,si21,2,4,0,4,10,0,14,1,ar,ar,14,14,1,1
800529,2017,9,29,si11,na,si11,4,2,4,6,2,1,9,1,ar,ar,9,9,1,1
800530,2017,9,29,si11,na,si11,4,0,0,0,8,3,11,2,ar,ar,11,11,1,1
800531,2017,9,29,si11,na,si11,4,5,0,5,4,0,9,3,ar,ar,9,9,1,1
800532,2017,9,29,si11,na,si11,4,8,0,8,4,0,12,4,ar,ar,12,12,1,1
