pollID,ID,site,observer,date,position,round,plantID,prevplantID,og.plantposition,plot,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes
200250,88,howe,adr,8/30/2017,13,3,ho13,ho28,ho28,hi,hp,op ,2,1,8,ho28 rd1/2
200251,88,howe,adr,9/7/2017,13,4,ho13,ho28,ho28,hi,hp,op ,5,0,17,abrt rd 3 possibly missing
200252,89,howe,kmf,8/12/2017,29,1,ho29,NA,ho29,low,op,NA,6,5,0,
200253,89,howe,kmf,8/24/2017,29,2,ho29,NA,ho29,low,op,NA,1,2,2,5fwp//1 lfwp
200254,89,howe,adr,8/30/2017,10,3,ho10,ho29,ho29,hi,op,op ,1,0,8,ho29 rd1/2
200255,89,howe,adr,9/7/2017,10,4,ho10,ho29,ho29,hi,op,op ,3,0,8,
200256,90,howe,kmf,8/12/2017,30,1,ho30,NA,ho30,low,op,NA,5,16,1,
200257,90,howe,kmf,8/24/2017,30,2,ho30,NA,ho30,low,op,NA,0,1,21,3fwp//2 lfwp
200258,91,nelson,kmf,8/8/2017,1,1,ne1,NA,ne1,hi,hp,NA,3,6,7,
200259,91,nelson,kmf,8/19/2017,1,2,ne1,NA,ne1,hi,hp,NA,3,3,15,
200260,91,nelson,kmf,8/31/2017,1,3,ne1,NA,ne1,hi,hp,NA,0,4,19,Check if any replaced; yellow
200261,91,nelson,kmf,9/6/2017,1,4,ne1,NA,ne1,hi,hp,NA,0,0,4,yellow & blue
200262,92,nelson,kmf,8/8/2017,2,1,ne2,NA,ne2,hi,op,NA,8,6,8,
200263,92,nelson,kmf,8/19/2017,2,2,ne2,NA,ne2,hi,op,NA,1,11,20,
200264,92,nelson,kmf,8/31/2017,2,3,ne2,NA,ne2,hi,op,NA,0,4,33,
200265,92,nelson,kmf,9/6/2017,2,4,ne2,NA,ne2,hi,op,NA,0,0,5,
200266,93,nelson,kmf,8/8/2017,3,1,ne3,NA,ne3,hi,hp,NA,7,3,8,
200267,93,nelson,kmf,8/19/2017,3,2,ne3,NA,ne3,hi,hp,NA,1,3,21,
200268,93,nelson,kmf,8/31/2017,3,3,ne3,NA,ne3,hi,hp,NA,3,9,26,
200269,93,nelson,kmf,9/6/2017,3,4,ne3,NA,ne3,hi,hp,NA,3,10,11,
200270,94,nelson,kmf,8/8/2017,4,1,ne4,NA,ne4,hi,nt,NA,1,2,3,
200271,94,nelson,kmf,8/19/2017,4,2,ne4,NA,ne4,hi,nt,NA,1,1,8,
200272,94,nelson,kmf,8/31/2017,4,3,ne4,NA,ne4,hi,op,nt,1,6,8,
200273,94,nelson,kmf,9/6/2017,4,4,ne4,NA,ne4,hi,op,nt,0,0,10,
200274,95,nelson,kmf,8/8/2017,5,1,ne5,NA,ne5,hi,hp,NA,3,5,0,
200275,95,nelson,kmf,8/19/2017,5,2,ne5,NA,ne5,hi,hp,NA,3,5,15,
200276,95,nelson,kmf,8/31/2017,5,3,ne5,NA,ne5,hi,hp,NA,0,0,12,
200277,95,nelson,kmf,9/6/2017,5,4,ne5,NA,ne5,hi,hp,NA,0,0,0,
200278,96,nelson,kmf,8/8/2017,6,1,ne6,NA,ne6,hi,hp,NA,6,3,0,
200279,96,nelson,kmf,8/19/2017,6,2,ne6,NA,ne6,hi,hp,NA,3,2,9,
200280,96,nelson,kmf,8/31/2017,6,3,ne6,NA,ne6,hi,hp,NA,2,2,24,
200281,96,nelson,kmf,9/6/2017,6,4,ne6,NA,ne6,hi,hp,NA,1,4,6,
200282,97,nelson,kmf,8/8/2017,7,1,ne7,NA,ne7,hi,hp,NA,4,3,5,
200283,97,nelson,kmf,8/19/2017,7,2,ne7,NA,ne7,hi,hp,NA,0,3,15,
200284,97,nelson,kmf,8/31/2017,7,3,ne7,NA,ne7,hi,hp,NA,0,3,14,
200285,97,nelson,kmf,9/6/2017,7,4,ne7,NA,ne7,hi,hp,NA,4,7,2,
200286,98,nelson,kmf,8/8/2017,8,1,ne8,NA,ne8,hi,op,NA,5,7,0,
200287,98,nelson,kmf,8/19/2017,8,2,ne8,NA,ne8,hi,op,NA,0,3,19,
200288,98,nelson,kmf,8/31/2017,8,3,ne8,NA,ne8,hi,op,NA,0,3,11,
200289,98,nelson,kmf,9/6/2017,8,4,ne8,NA,ne8,hi,op,NA,4,5,3,
200290,99,nelson,kmf,8/8/2017,9,1,ne9,NA,ne9,hi,op,NA,3,3,12,
200291,99,nelson,kmf,8/19/2017,9,2,ne9,NA,ne9,hi,op,NA,0,1,10,
200292,99,nelson,kmf,8/31/2017,9,3,ne9,NA,ne9,hi,op,NA,0,3,11,
200293,99,nelson,kmf,9/6/2017,9,4,ne9,NA,ne9,hi,op,NA,2,9,5,
200294,100,nelson,kmf,8/8/2017,10,1,ne10,NA,ne10,hi,op,NA,3,1,0,
200295,100,nelson,kmf,8/19/2017,10,2,ne10,NA,ne10,hi,op,NA,5,5,10,
200296,100,nelson,kmf,8/31/2017,10,3,ne10,NA,ne10,hi,op,NA,2,2,21,
200297,100,nelson,kmf,9/6/2017,10,4,ne10,NA,ne10,hi,op,NA,0,3,1,
200298,101,nelson,kmf,8/8/2017,11,1,ne11,NA,ne11,hi,nt,NA,3,6,0,
200299,101,nelson,kmf,8/19/2017,11,2,ne11,NA,ne11,hi,nt,NA,0,3,5,
200300,101,nelson,kmf,8/31/2017,11,3,ne11,NA,ne11,hi,hp,nt,7,8,17,
200301,101,nelson,kmf,9/6/2017,11,4,ne11,NA,ne11,hi,hp,nt,4,14,19,
200302,102,nelson,kmf,8/8/2017,12,1,ne12,NA,ne12,hi,nt,NA,1,5,0,
200303,102,nelson,kmf,8/19/2017,12,2,ne12,NA,ne12,hi,nt,NA,0,2,7,
200304,103,nelson,kmf,8/8/2017,13,1,ne13,NA,ne13,hi,nt,NA,0,1,0,
200305,103,nelson,kmf,8/19/2017,13,2,ne13,NA,ne13,hi,nt,NA,0,0,3,
200306,103,nelson,kmf,8/31/2017,13,3,ne13,NA,ne13,hi,hp,nt,1,5,7,
200307,103,nelson,kmf,9/6/2017,13,4,ne13,NA,ne13,hi,hp,nt,3,4,6,
200308,104,nelson,kmf,8/8/2017,14,1,ne14,NA,ne14,hi,op,NA,4,12,0,
200309,104,nelson,kmf,8/19/2017,14,2,ne14,NA,ne14,hi,op,NA,1,3,22,
200310,104,nelson,kmf,8/31/2017,14,3,ne14,NA,ne14,hi,op,NA,0,4,26,
200311,104,nelson,kmf,9/6/2017,14,4,ne14,NA,ne14,hi,op,NA,0,3,8,
200312,105,nelson,kmf,8/8/2017,15,1,ne15,NA,ne15,hi,nt,NA,0,4,0,
200313,105,nelson,kmf,8/19/2017,15,2,ne15,NA,ne15,hi,nt,NA,0,4,1,
200314,106,nelson,kmf,8/8/2017,16,1,ne16,NA,ne16,low,nt,NA,0,2,0,
200315,106,nelson,kmf,8/19/2017,16,2,ne16,NA,ne16,low,nt,NA,0,3,0,
200316,107,nelson,kmf,8/8/2017,17,1,ne17,NA,ne17,low,op,NA,1,1,0,
200317,107,nelson,kmf,8/19/2017,17,2,ne17,NA,ne17,low,op,NA,1,2,0,
200318,108,nelson,kmf,8/8/2017,18,1,ne18,NA,ne18,low,hp,NA,3,3,0,
200319,108,nelson,kmf,8/19/2017,18,2,ne18,NA,ne18,low,hp,NA,2,5,17,
200320,109,nelson,kmf,8/8/2017,19,1,ne19,NA,ne19,low,hp,NA,10,6,0,
200321,109,nelson,kmf,8/19/2017,19,2,ne19,NA,ne19,low,hp,NA,0,0,10,
200322,110,nelson,kmf,8/8/2017,20,1,ne20,NA,ne20,low,nt,NA,0,5,9,
200323,110,nelson,kmf,8/19/2017,20,2,ne20,NA,ne20,low,nt,NA,0,3,1,
200324,111,nelson,kmf,8/8/2017,21,1,ne21,NA,ne21,low,op,NA,1,5,0,
200325,111,nelson,kmf,8/19/2017,21,2,ne21,NA,ne21,low,op,NA,0,1,9,
200326,112,nelson,kmf,8/8/2017,22,1,ne22,NA,ne22,low,nt,NA,2,6,0,
200327,112,nelson,kmf,8/19/2017,22,2,ne22,NA,ne22,low,nt,NA,1,2,3,
200328,113,nelson,kmf,8/8/2017,23,1,ne23,NA,ne23,low,hp,NA,3,4,0,
200329,113,nelson,kmf,8/19/2017,23,2,ne23,NA,ne23,low,hp,NA,2,3,11,
200330,114,nelson,kmf,8/8/2017,24,1,ne24,NA,ne24,low,op,NA,4,3,0,
200331,114,nelson,kmf,8/19/2017,24,2,ne24,NA,ne24,low,op,NA,1,1,2,
200332,114,nelson,kmf,8/31/2017,15,3,ne15,ne24,ne24,hi,hp,op,10,3,21,
200333,114,nelson,kmf,9/6/2017,15,4,ne15,ne24,ne24,hi,hp,op,9,7,22,
200334,115,nelson,kmf,8/8/2017,25,1,ne25,NA,ne25,low,op,NA,4,7,0,
200335,115,nelson,kmf,8/19/2017,25,2,ne25,NA,ne25,low,op,NA,0,2,5,
200336,116,nelson,kmf,8/8/2017,26,1,ne26,NA,ne26,low,hp,NA,3,2,1,
200337,116,nelson,kmf,8/19/2017,26,2,ne26,NA,ne26,low,hp,NA,0,0,3,
200338,117,nelson,kmf,8/8/2017,27,1,ne27,NA,ne27,low,nt,NA,1,2,0,
200339,117,nelson,kmf,8/19/2017,27,2,ne27,NA,ne27,low,nt,NA,2,3,7,
200340,118,nelson,kmf,8/8/2017,28,1,ne28,NA,ne28,low,op,NA,3,7,0,
200341,118,nelson,kmf,8/19/2017,28,2,ne28,NA,ne28,low,op,NA,0,2,8,
200342,119,nelson,kmf,8/8/2017,29,1,ne29,NA,ne29,low,nt,NA,0,0,0,
200343,119,nelson,kmf,8/19/2017,29,2,ne29,NA,ne29,low,nt,NA,1,4,2,
